,budget,revenue
0,1,0
1,1,0
2,1,0
3,1,0
4,2,0
5,3,0
6,3,0
7,3,0
8,5,0
9,6,0
10,8,0
11,8,0
12,8,0
13,10,0
14,10,0
15,10,0
16,10,0
17,10,0
18,10,0
19,11,0
20,12,0
21,12,0
22,14,0
23,15,0
24,15,0
25,17,0
26,18,0
27,18,0
28,20,0
29,21,0
30,25,0
31,25,0
32,27,0
33,28,0
34,30,0
35,30,0
36,30,0
37,32,0
38,68,0
39,75,0
40,80,0
41,89,0
42,90,0
43,93,0
44,95,0
45,97,0
46,108,0
47,110,0
48,113,0
49,114,0
50,115,0
51,117,0
52,126,0
53,200,0
54,300,0
55,500,0
56,650,0
57,700,0
58,750,0
59,2500,0
60,3500,0
61,5000,0
62,5000,0
63,5000,0
64,6000,0
65,7000,0
66,8000,0
67,8000,0
68,10000,0
69,10000,0
70,10400,0
71,12000,0
72,15000,0
73,16398,0
74,17000,0
75,19000,0
76,20000,0
77,22500,0
78,23000,0
79,25000,0
80,25000,0
81,25000,0
82,25710,0
83,27000,0
84,30000,0
85,30000,0
86,30000,0
87,30000,0
88,31192,0
89,33000,0
90,35000,0
91,40000,0
92,45000,0
93,45202,0
94,50000,0
95,50000,0
96,50000,0
97,50000,0
98,60000,0
99,60000,0
100,60000,0
101,60000,0
102,61733,0
103,62000,0
104,62000,0
105,65000,0
106,65000,0
107,65000,0
108,65000,0
109,66500,0
110,68000,0
111,70000,0
112,72000,0
113,74050,0
114,75000,0
115,75000,0
116,79000,0
117,85000,0
118,90000,0
119,90000,0
120,100000,0
121,100000,0
122,100000,0
123,100000,0
124,100000,0
125,100000,0
126,100000,0
127,100000,0
128,100000,0
129,100000,0
130,100000,0
131,100000,0
132,111000,0
133,114000,0
134,120000,0
135,125000,0
136,125000,0
137,125687,0
138,130000,0
139,130000,0
140,134005,0
141,135000,0
142,135000,0
143,145786,0
144,150000,0
145,150000,0
146,150000,0
147,150000,0
148,150000,0
149,156660,0
150,160000,0
151,165000,0
152,169000,0
153,170000,0
154,170000,0
155,175000,0
156,179000,0
157,200000,0
158,200000,0
159,200000,0
160,200000,0
161,200000,0
162,200000,0
163,200000,0
164,200000,0
165,200000,0
166,200000,0
167,200000,0
168,200000,0
169,200000,0
170,200000,0
171,220000,0
172,225000,0
173,230000,0
174,230400,0
175,232000,0
176,239000,0
177,250000,0
178,250000,0
179,250000,0
180,250000,0
181,250000,0
182,250000,0
183,250000,0
184,250000,0
185,250000,0
186,250000,0
